header,class,gene,mechanism,group
gb|AYD68572.1|ARO:3005119|AAC(6')-Ib-cr9_[Serratia_marcescens]_,aminoglycoside_antibiotic;fluoroquinolone_antibiotic,AAC(6')-Ib-cr9,antibiotic_inactivation,AAC(6')-Ib-cr
gb|AZK52946.1|ARO:3005118|AAC(6')-Ib-cr8_[Salmonella_enterica_subsp._enterica_serovar_Derby]_,aminoglycoside_antibiotic;fluoroquinolone_antibiotic,AAC(6')-Ib-cr8,antibiotic_inactivation,AAC(6')-Ib-cr
gb|NON98701.1|ARO:3005117|AAC(6')-Ib-cr7_[Klebsiella_pneumoniae]_,aminoglycoside_antibiotic;fluoroquinolone_antibiotic,AAC(6')-Ib-cr7,antibiotic_inactivation,AAC(6')-Ib-cr
gb|ACD56150.1|ARO:3005116|AAC(6')-Ib-cr6_[Escherichia_coli]_,aminoglycoside_antibiotic;fluoroquinolone_antibiotic,AAC(6')-Ib-cr6,antibiotic_inactivation,AAC(6')-Ib-cr
gb|ABX24471.1|ARO:3005115|AAC(6')-Ib-cr5_[Pseudomonas_aeruginosa]_,aminoglycoside_antibiotic;fluoroquinolone_antibiotic,AAC(6')-Ib-cr5,antibiotic_inactivation,AAC(6')-Ib-cr
gb|KJX28101.1|ARO:3005114|AAC(6')-Ib-cr4_[Enterobacter_hormaechei_subsp._steigerwaltii]_,aminoglycoside_antibiotic;fluoroquinolone_antibiotic,AAC(6')-Ib-cr4,antibiotic_inactivation,AAC(6')-Ib-cr
gb|ADY02579.1|ARO:3005112|AAC(6')-Ib-cr3_[Aeromonas_media]_,aminoglycoside_antibiotic;fluoroquinolone_antibiotic,AAC(6')-Ib-cr3,antibiotic_inactivation,AAC(6')-Ib-cr
gb|AAP97895.1|ARO:3005111|blaS1_[Mycolicibacterium_smegmatis_MC2_155]_,cephalosporin;cephamycin;penam,blaS1,antibiotic_inactivation,blaS
gb|AAP27834.1|ARO:3005100|FosB2_[Bacillus_anthracis_str._Ames]_,fosfomycin,FosB2,antibiotic_inactivation,fosfomycin_thiol_transferase
gb|AAB60941.1|ARO:3005099|23S_rRNA_(adenine(2058)-N(6))-methyltransferase_Erm(A)_[Streptococcus_pyogenes]_,lincosamide_antibiotic;macrolide_antibiotic;streptogramin_antibiotic,23S,antibiotic_target_alteration,Erm_23S_ribosomal_RNA_methyltransferase
gb|AAZ42322|ARO:3005098|qacL_[Vibrio_cholerae]_,N/A,qacL,antibiotic_efflux,small_multidrug_resistance_(SMR)_antibiotic_efflux_pump
gb|CBZ41939|ARO:3005097|mecC-type_BlaZ_[Staphylococcus_aureus]_Partial,penam,mecC-type,antibiotic_inactivation,blaZ_beta-lactamase
gb|AWB15813.1|ARO:3005096|GPC-1_[Pseudomonas_aeruginosa]_,carbapenem,GPC-1,antibiotic_inactivation,GPC_beta-lactamase
gb|QHT72948.1|ARO:3005094|OXA-898_[Ralstonia_pickettii]_,carbapenem;cephalosporin;penam,OXA-898,antibiotic_inactivation,OXA_beta-lactamase
gb|QHT72949.1|ARO:3005093|OXA-899_[Ralstonia_pickettii]_,carbapenem;cephalosporin;penam,OXA-899,antibiotic_inactivation,OXA_beta-lactamase
gb|ADZ12699.1|ARO:3005091|RanA_[Riemerella_anatipestifer_RA-GD]_,aminoglycoside_antibiotic,RanA,antibiotic_efflux,ATP-binding_cassette_(ABC)_antibiotic_efflux_pump
gb|ADZ12700.1|ARO:3005090|RanB_[Riemerella_anatipestifer_RA-GD]_,aminoglycoside_antibiotic,RanB,antibiotic_efflux,ATP-binding_cassette_(ABC)_antibiotic_efflux_pump
gb|QHW12307.1|ARO:3005089|mef(D)_[Macrococcus_canis]_,macrolide_antibiotic,mef(D),antibiotic_efflux,major_facilitator_superfamily_(MFS)_antibiotic_efflux_pump
gb|DAC81085.1|ARO:3005088|msrH_[Macrococcus_canis]_,lincosamide_antibiotic;macrolide_antibiotic;oxazolidinone_antibiotic;phenicol_antibiotic;pleuromutilin_antibiotic;streptogramin_antibiotic;tetracycline_antibiotic,msrH,antibiotic_target_protection,ABC-F_ATP-binding_cassette_ribosomal_protection_protein
gb|QHW12375.1|ARO:3005087|msrF_[Macrococcus_canis]_,lincosamide_antibiotic;macrolide_antibiotic;oxazolidinone_antibiotic;phenicol_antibiotic;pleuromutilin_antibiotic;streptogramin_antibiotic;tetracycline_antibiotic,msrF,antibiotic_target_protection,ABC-F_ATP-binding_cassette_ribosomal_protection_protein
gb|QKT21444.1|ARO:3005085|AAC(3)-IIg_[Enterobacter_cloacae]_,aminoglycoside_antibiotic,AAC(3)-IIg,antibiotic_inactivation,AAC(3)
gb|BAD88719.1|ARO:3005084|dfrA31_[Vibrio_cholerae_O1]_,diaminopyrimidine_antibiotic,dfrA31,antibiotic_target_replacement,trimethoprim_resistant_dihydrofolate_reductase_dfr
gb|MWQ02887.1|ARO:3005080|ROB-10_[Glaesserella_parasuis]_,cephalosporin;penam,ROB-10,antibiotic_inactivation,ROB_beta-lactamase
gb|AWU47610.1|ARO:3005079|ROB-9_[Mannheimia_haemolytica]_,cephalosporin;penam,ROB-9,antibiotic_inactivation,ROB_beta-lactamase
gb|AIW80573.1|ARO:3005078|ROB-8_[uncultured_bacterium]_,cephalosporin;penam,ROB-8,antibiotic_inactivation,ROB_beta-lactamase
gb|AIW80572.1|ARO:3005077|ROB-7_[uncultured_bacterium]_,cephalosporin;penam,ROB-7,antibiotic_inactivation,ROB_beta-lactamase
gb|AIW80558.1|ARO:3005076|ROB-6_[uncultured_bacterium]_,cephalosporin;penam,ROB-6,antibiotic_inactivation,ROB_beta-lactamase
gb|PNP96721.1|ARO:3005075|ROB-5_[Moraxella_sp._RCAD0137]_,cephalosporin;penam,ROB-5,antibiotic_inactivation,ROB_beta-lactamase
gb|OOS22656.1|ARO:3005074|ROB-4_[Moraxella_porci_DSM_25326]_,cephalosporin;penam,ROB-4,antibiotic_inactivation,ROB_beta-lactamase
gb|OOS23853.1|ARO:3005073|ROB-3_[Moraxella_pluranimalium]_,cephalosporin;penam,ROB-3,antibiotic_inactivation,ROB_beta-lactamase
gb|AGH37381.1|ARO:3005072|ROB-2_[Bibersteinia_trehalosi_USDA-ARS-USMARC-192]_,cephalosporin;penam,ROB-2,antibiotic_inactivation,ROB_beta-lactamase
gb|AAC16242.1|ARO:3005069|rsmA_[Pseudomonas_aeruginosa]_,diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;phenicol_antibiotic,rsmA,antibiotic_efflux,resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump
gb|AAG05188.1|ARO:3005068|ParR_[Pseudomonas_aeruginosa_PAO1]_,acridine_dye;aminoglycoside_antibiotic;carbapenem;cephalosporin;cephamycin;fluoroquinolone_antibiotic;macrolide_antibiotic;monobactam;penam;penem;phenicol_antibiotic;tetracycline_antibiotic,ParR,antibiotic_efflux;reduced_permeability_to_antibiotic,Outer_Membrane_Porin_(Opr);resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump
gb|AAG05187.1|ARO:3005067|ParS_[Pseudomonas_aeruginosa_PAO1]_,acridine_dye;aminoglycoside_antibiotic;carbapenem;cephalosporin;cephamycin;fluoroquinolone_antibiotic;macrolide_antibiotic;monobactam;penam;penem;phenicol_antibiotic;tetracycline_antibiotic,ParS,antibiotic_efflux;reduced_permeability_to_antibiotic,Outer_Membrane_Porin_(Opr);resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump
gb|AAG06466.1|ARO:3005064|cprS_[Pseudomonas_aeruginosa_PAO1]_,peptide_antibiotic,cprS,antibiotic_efflux;antibiotic_target_alteration,pmr_phosphoethanolamine_transferase
gb|AAG06465.1|ARO:3005063|cprR_[Pseudomonas_aeruginosa_PAO1]_,peptide_antibiotic,cprR,antibiotic_efflux;antibiotic_target_alteration,pmr_phosphoethanolamine_transferase
gb|QEQ43477.1|ARO:3005062|ANT(3'')-Ib_[Cupriavidus_gilardii]_,aminoglycoside_antibiotic,ANT(3'')-Ib,antibiotic_inactivation,ANT(3'')
gb|QEQ43476.1|ARO:3005061|AAC(3)-IVb_[Cupriavidus_gilardii]_,aminoglycoside_antibiotic,AAC(3)-IVb,antibiotic_inactivation,AAC(3)
gb|QEE23059.1|ARO:3005060|OXA-837_[Cupriavidus_gilardii]_,carbapenem;cephalosporin;penam,OXA-837,antibiotic_inactivation,OXA_beta-lactamase
gb|AIA35096.1|ARO:3005059|LptD_[Klebsiella_pneumoniae_subsp._pneumoniae_KPNIH10]_,aminocoumarin_antibiotic;carbapenem;peptide_antibiotic;rifamycin_antibiotic,LptD,antibiotic_efflux,ATP-binding_cassette_(ABC)_antibiotic_efflux_pump
gb|WP_150378267.1|ARO:3005057|Tet(X5)_[Acinetobacter_pittii]_,tetracycline_antibiotic,Tet(X5),antibiotic_inactivation,tetracycline_inactivation_enzyme
gb|QIM09823.1|ARO:3005056|Tet(X6)_[Proteus_genomosp._6]_,tetracycline_antibiotic,Tet(X6),antibiotic_inactivation,tetracycline_inactivation_enzyme
gb|CDO12042.1|ARO:3005053|ArnT_[Klebsiella_pneumoniae]_,peptide_antibiotic,ArnT,antibiotic_target_alteration,pmr_phosphoethanolamine_transferase
gb|ABG48543.1|ARO:3005052|LpsA_[Haemophilus_influenzae]_,peptide_antibiotic,LpsA,reduced_permeability_to_antibiotic,Intrinsic_peptide_antibiotic_resistant_Lps
gb|QFQ03949.1|ARO:3005051|LpsB_[Acinetobacter_baumannii]_,peptide_antibiotic,LpsB,reduced_permeability_to_antibiotic,Intrinsic_peptide_antibiotic_resistant_Lps
gb|CCN31428.1|ARO:3005049|CrcB_[Klebsiella_pneumoniae_subsp._pneumoniae_Ecl8]_,aminoglycoside_antibiotic,CrcB,antibiotic_efflux,multidrug_and_toxic_compound_extrusion_(MATE)_transporter
gb|CCI79240.1|ARO:3005047|eptB_[Klebsiella_pneumoniae_subsp._rhinoscleromatis_SB3432]_,peptide_antibiotic,eptB,antibiotic_target_alteration,pmr_phosphoethanolamine_transferase
gb|CCC86797.1|ARO:3005046|MecC-type_methicillin_resistance_repressor_MecI_[Staphylococcus_aureus_subsp._aureus_LGA251]_,carbapenem;cephalosporin;cephamycin;monobactam;penam,MecC-type,antibiotic_target_replacement,methicillin_resistant_PBP2
gb|AAP26981.1|ARO:3005045|SatA_[Bacillus_anthracis_str._Ames]_,nucleoside_antibiotic,SatA,antibiotic_inactivation,streptothricin_acetyltransferase_(SAT)
gb|CDO13836.1|ARO:3005044|OmpA_[Klebsiella_pneumoniae]_,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem,OmpA,reduced_permeability_to_antibiotic,General_Bacterial_Porin_with_reduced_permeability_to_beta-lactams
gb|ABZ01840.1|ARO:3005043|cmlA9_[Salmonella_enterica_subsp._enterica_serovar_Emek]_,N/A,cmlA9,antibiotic_efflux,major_facilitator_superfamily_(MFS)_antibiotic_efflux_pump
gb|TKW44661.1|ARO:3005040|YajC_[Pseudomonas_aeruginosa]_,cephalosporin;fluoroquinolone_antibiotic;glycylcycline;penam;phenicol_antibiotic;rifamycin_antibiotic;tetracycline_antibiotic;triclosan,YajC,antibiotic_efflux,resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump
gb|AIG19992.1|ARO:3005039|PDC-55_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-55,antibiotic_inactivation,PDC_beta-lactamase
gb|AIG20002.1|ARO:3005038|PDC-65_[Pseudomonas_aeruginosa]_,carbapenem;cephalosporin;monobactam,PDC-65,antibiotic_inactivation,PDC_beta-lactamase
gb|ATP60652.1|ARO:3005037|ADC-159_[Acinetobacter_baumannii]_,cephalosporin,ADC-159,antibiotic_inactivation,ADC_beta-lactamase_without_carbapenemase_activity
gb|BAF34030.1|ARO:3005036|BLMT_[Escherichia_coli]_,glycopeptide_antibiotic,BLMT,antibiotic_inactivation,Bleomycin_resistant_protein
gb|ABA70720.1|ARO:3005035|Yrc-1_[Yersinia_ruckeri]_,cephalosporin;penam,Yrc-1,antibiotic_inactivation,YRC_Beta-lactamase
gb|ATX60370.1|ARO:3005033|FLC-1_[Enterobacter_cloacae]_,penam,FLC-1,antibiotic_inactivation,FRI_beta-lactamase
gb|BBJ65425.1|ARO:3005032|FRI-9_[Enterobacter_asburiae]_,penam,FRI-9,antibiotic_inactivation,FRI_beta-lactamase
gb|BBJ69931.1|ARO:3005031|FRI-8_[Enterobacter_sp._18A13]_,penam,FRI-8,antibiotic_inactivation,FRI_beta-lactamase
gb|BBI97867.1|ARO:3005030|FRI-7_[Enterobacter_asburiae]_,penam,FRI-7,antibiotic_inactivation,FRI_beta-lactamase
gb|AZK35806.1|ARO:3005029|FRI-6_[Enterobacter_cloacae]_,penam,FRI-6,antibiotic_inactivation,FRI_beta-lactamase
gb|AWA42532.1|ARO:3005028|FRI-5_[Enterobacter_cloacae_complex_sp.]_,penam,FRI-5,antibiotic_inactivation,FRI_beta-lactamase
gb|BAX00166.1|ARO:3005027|FRI-4_[Enterobacter_asburiae]_,penam,FRI-4,antibiotic_inactivation,FRI_beta-lactamase
gb|QHR93773.1|ARO:3005024|FosL1_[Escherichia_coli]_,fosfomycin,FosL1,antibiotic_inactivation,fosfomycin_thiol_transferase
gb|AXY65402.1|ARO:3005021|cfr(D)_[Enterococcus_faecium]_,lincosamide_antibiotic;oxazolidinone_antibiotic;phenicol_antibiotic;streptogramin_antibiotic,cfr(D),antibiotic_target_alteration,Cfr_23S_ribosomal_RNA_methyltransferase
gb|ASU31903.1|ARO:3005019|IMP-68_[Klebsiella_pneumoniae]_,carbapenem;cephalosporin;cephamycin;penam;penem,IMP-68,antibiotic_inactivation,IMP_beta-lactamase
gb|AYD68552.1|ARO:3005018|LMB-1_[Citrobacter_freundii]_,carbapenem;cephalosporin;penam,LMB-1,antibiotic_inactivation,LMB_beta-lactamase
gb|PUU64961.1|ARO:3005016|CMY-150_[Citrobacter_freundii]_Partial,cephamycin,CMY-150,antibiotic_inactivation,CMY_beta-lactamase
gb|QGQ32905.1|ARO:3005015|VMB-1_[Vibrio_alginolyticus]_,carbapenem,VMB-1,antibiotic_inactivation,VMB_beta-lactamase
gb|QIB98910.1|ARO:3005013|IDC-2_[sediment_metagenome]_,carbapenem;cephalosporin,IDC-2,antibiotic_inactivation,IDC_beta-lactamase
gb|QIB98918.1|ARO:3005012|IDC-1_[sediment_metagenome]_,carbapenem;cephalosporin,IDC-1,antibiotic_inactivation,IDC_beta-lactamase
gb|AAC44316.1|ARO:3005010|qacEdelta1_[Pseudomonas_aeruginosa]_,acridine_dye,qacEdelta1,antibiotic_efflux,major_facilitator_superfamily_(MFS)_antibiotic_efflux_pump
gb|AEH26330.1|ARO:3005009|qacE_[Klebsiella_pneumoniae]_,N/A,qacE,antibiotic_efflux,major_facilitator_superfamily_(MFS)_antibiotic_efflux_pump
gb|AAK37618.1|ARO:3005008|Txr_[Vibrio_harveyi]_,tetracycline_antibiotic,Txr,antibiotic_efflux,ATP-binding_cassette_(ABC)_antibiotic_efflux_pump
gb|AJO67548.1|ARO:3005006|tet(57)_[Providencia_sp._Y14]_,tetracycline_antibiotic,tet(57),antibiotic_target_protection,tetracycline-resistant_ribosomal_protection_protein
gb|QAT97614.1|ARO:3004871|NDM-28_[Klebsiella_pneumoniae]_,carbapenem;cephalosporin;cephamycin;penam,NDM-28,antibiotic_inactivation,NDM_beta-lactamase
gb|AYP70146.1|ARO:3004870|NDM-27_[Escherichia_coli]_,carbapenem;cephalosporin;cephamycin;penam,NDM-27,antibiotic_inactivation,NDM_beta-lactamase
gb|AYF56302.1|ARO:3004868|NDM-25_[Klebsiella_pneumoniae]_,carbapenem;cephalosporin;cephamycin;penam,NDM-25,antibiotic_inactivation,NDM_beta-lactamase
gb|AWU66463.1|ARO:3004867|NDM-24_[Providencia_stuartii]_,carbapenem;cephalosporin;cephamycin;penam,NDM-24,antibiotic_inactivation,NDM_beta-lactamase
gb|AWU66462.1|ARO:3004866|NDM-23_[Klebsiella_pneumoniae]_,carbapenem;cephalosporin;cephamycin;penam,NDM-23,antibiotic_inactivation,NDM_beta-lactamase
gb|AWI33311.1|ARO:3004865|NDM-22_[Enterobacter_cloacae]_,carbapenem;cephalosporin;cephamycin;penam,NDM-22,antibiotic_inactivation,NDM_beta-lactamase
gb|ATJ25942.1|ARO:3004864|NDM-21_[Escherichia_coli]_,carbapenem;cephalosporin;cephamycin;penam,NDM-21,antibiotic_inactivation,NDM_beta-lactamase
gb|AQY45923.1|ARO:3004863|NDM-20_[Escherichia_coli]_,carbapenem;cephalosporin;cephamycin;penam,NDM-20,antibiotic_inactivation,NDM_beta-lactamase
