header,class,group,gene,mechanism
JN129451.1.gene1.p01|FEATURES|VIM-30|beta-lactam|VIM,beta-lactam,VIM,VIM-30,NA
AF099139.1.gene1.p01|FEATURES|IND-1|beta-lactam|IND,beta-lactam,IND,IND-1,NA
gi:727197287:ref:WP_033658847.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:556479739:ref:WP_023331319.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:493872994:ref:WP_006819444.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:307606148:emb:CBI42519.1:|FEATURES|ykkC|multidrug|ykkC,multidrug,ykkC,ykkC,NA
gi:920477870:ref:WP_052992011.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:896000765:ref:WP_049067803.1:|FEATURES|adeB|multidrug|adeB,multidrug,adeB,adeB,NA
gi:487391485:ref:WP_001662771.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:60392649:sp:O54281.1:MECI_STASR|FEATURES|mecI|beta-lactam|mecI,beta-lactam,mecI,mecI,NA
gi:896501912:ref:WP_049409560.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase,beta-lactam,metallo-beta-lactamase,metallo-beta-lactamase,NA
gi:980509810:ref:WP_059358358.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:928821630:ref:WP_053882393.1:|FEATURES|mdtN|multidrug|mdtN,multidrug,mdtN,mdtN,NA
P60865|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
NC_002695.1.914737.p01|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
YP_001972437|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase,beta-lactam,metallo-beta-lactamase,metallo-beta-lactamase,NA
gi:1012702223:ref:WP_062814406.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
ABP68837|FEATURES|qnrB|fluoroquinolone|qnrB,fluoroquinolone,qnrB,qnrB,NA
gi:727711724:ref:WP_033835092.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase,beta-lactam,metallo-beta-lactamase,metallo-beta-lactamase,NA
AAL12234|FEATURES|fusB|fusaric-acid|fusB,fusaric-acid,fusB,fusB,NA
gi:662754041:ref:WP_030125200.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter,multidrug,multidrug_ABC_transporter,multidrug_ABC_transporter,NA
gi:851905047:ref:WP_048213240.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
CP000647.1.gene4257.p01|FEATURES|transcriptional_regulatory_protein_CpxR_cpxR|unclassified|transcriptional_regulatory_protein_CpxR_cpxR,unclassified,transcriptional_regulatory_protein_CpxR_cpxR,transcriptional_regulatory_protein_CpxR_cpxR,NA
YP_405948|FEATURES|mdtM|multidrug|mdtM,multidrug,mdtM,mdtM,NA
gi:447124504:ref:WP_001201760.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:1031626545:gb:ANG10578.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:1031635111:gb:ANG14588.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
AF452105.1.gene1.p1|FEATURES|LEN-15|beta-lactam|LEN,beta-lactam,LEN,LEN-15,NA
gi:489009547:ref:WP_002920107.1:|FEATURES|cmeB|multidrug|cmeB,multidrug,cmeB,cmeB,NA
gi:489421661:ref:WP_003327389.1:|FEATURES|ykkD|multidrug|ykkD,multidrug,ykkD,ykkD,NA
gi:920342141:ref:WP_052979841.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
CAE53424|FEATURES|dfrA20|diaminopyrimidine|dfrA20,diaminopyrimidine,dfrA20,dfrA20,NA
gi:928832860:ref:WP_053889610.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
NC_010063.5774822.p01|FEATURES|blaZ|beta-lactam|blaZ,beta-lactam,blaZ,blaZ,NA
gi:742921897:ref:WP_039023559.1:|FEATURES|floR|phenicol|floR,phenicol,floR,floR,NA
gi:757721768:ref:WP_042949788.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
CAA63057|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
DQ075245.1.gene1.p01|FEATURES|TEM-143|beta-lactam|TEM,beta-lactam,TEM,TEM-143,NA
gi:664170275:ref:WP_030704520.1:|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I,aminoglycoside,aph(6)-I,aph(6)-I,NA
gi:516511796:ref:WP_017900234.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:585355297:ref:WP_024236900.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
P52664|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
AF079138.1.orf0.gene.p01|FEATURES|erm(31)|MLS|erm(31),MLS,erm(31),erm(31),NA
AJ005045.gene.p01|FEATURES|CTX-M-7|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-7,NA
gi:740619692:ref:WP_038405204.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
NC_002695.1.915750.p01|FEATURES|mdtE|multidrug|mdtE,multidrug,mdtE,mdtE,NA
gi:1040574401:gb:OBU08589.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:798900708:ref:WP_045903201.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:1000987514:ref:WP_061186397.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
HM113558.1.gene1.p01|FEATURES|OXA-172|beta-lactam|OXA,beta-lactam,OXA,OXA-172,NA
gi:487399647:ref:WP_001669103.1:|FEATURES|mdtP|multidrug|mdtP,multidrug,mdtP,mdtP,NA
gi:487586482:ref:WP_001724981.1:|FEATURES|cmlA|phenicol|cmlA,phenicol,cmlA,cmlA,NA
gi:691136184:ref:WP_032050198.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:895818174:ref:WP_048942695.1:|FEATURES|lsa|MLS|lsa,MLS,lsa,lsa,NA
gi:759396701:ref:WP_043121260.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:447203855:ref:WP_001281111.1:|FEATURES|vanR|glycopeptide|vanR,glycopeptide,vanR,vanR,NA
AY162283.2.gene3.p01|FEATURES|OXA-4|beta-lactam|OXA,beta-lactam,OXA,OXA-4,NA
gi:950546578:ref:WP_057422848.1:|FEATURES|mexF|multidrug|mexF,multidrug,mexF,mexF,NA
gi:1031634941:gb:ANG14509.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:686319989:ref:WP_031875473.1:|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
gi:700659240:gb:AIU96746.1:|FEATURES|ermC|MLS|ermC,MLS,ermC,ermC,NA
AF336095.1.gene1.p01|FEATURES|omp36|multidrug|omp36,multidrug,omp36,omp36,NA
gi:995942695:gb:AMJ32665.1:|FEATURES|tetD|tetracycline|tetD,tetracycline,tetD,tetD,NA
gi:998244991:ref:WP_061098586.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
YP_002384189|FEATURES|mdtM|multidrug|mdtM,multidrug,mdtM,mdtM,NA
gi:486419591:ref:WP_001612185.1:|FEATURES|mdtP|multidrug|mdtP,multidrug,mdtP,mdtP,NA
gi:1043328611:ref:WP_065365843.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:976151217:ref:WP_059309422.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
JF274246.1.gene1.p01|FEATURES|CTX-M-112|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-112,NA
CAF21854|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
gi:519089566:ref:WP_020245441.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:491130228:ref:WP_004988656.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:928844228:ref:WP_053895302.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
gi:545231548:ref:WP_021531156.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
ACB17069|FEATURES|mdtO|multidrug|mdtO,multidrug,mdtO,mdtO,NA
GU371926.1.gene94.p01|FEATURES|TEM-33|beta-lactam|TEM,beta-lactam,TEM,TEM-33,NA
CAP58290|FEATURES|SHV-2|beta-lactam|SHV,beta-lactam,SHV,SHV-2,NA
gi:1031851380:ref:WP_064173626.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
YP_002040143|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:488959735:ref:WP_002870772.1:|FEATURES|cmeB|multidrug|cmeB,multidrug,cmeB,cmeB,NA
gi:829798578:ref:WP_047349012.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
HE999704.1.gene1047.p01|FEATURES|msrA|MLS|msrA,MLS,msrA,msrA,NA
gi:921331017:emb:CTX12516.1:|FEATURES|mdtA|multidrug|mdtA,multidrug,mdtA,mdtA,NA
gi:1011917778:ref:WP_062729839.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:545296874:ref:WP_021577089.1:|FEATURES|acrB|multidrug|acrB,multidrug,acrB,acrB,NA
AAK63223|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:959897454:ref:WP_058165306.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
gi:446053005:ref:WP_000130860.1:|FEATURES|mdtD|multidrug|mdtD,multidrug,mdtD,mdtD,NA
gi:502669650:ref:WP_012905508.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
AM982522.2.gene1.p01|FEATURES|CTX-M-78|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M-78,NA
AM051149.1.gene1.p01|FEATURES|OKP-A|beta-lactam|OKP-A,beta-lactam,OKP-A,OKP-A,NA
CP000647.1.gene911.p01|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:485699692:ref:WP_001333029.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
gi:315276252:gb:EFU39596.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
Q52360|FEATURES|tetQ|tetracycline|tetQ,tetracycline,tetQ,tetQ,NA
gi:686319982:ref:WP_031875468.1:|FEATURES|mepA|multidrug|mepA,multidrug,mepA,mepA,NA
AAD42184|FEATURES|vanD|glycopeptide|vanD,glycopeptide,vanD,vanD,NA
gi:506486765:ref:WP_015963310.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
gi:949697262:ref:WP_057056299.1:|FEATURES|rmtC|aminoglycoside|rmtC,aminoglycoside,rmtC,rmtC,NA
gi:779813787:ref:WP_045333976.1:|FEATURES|mdtH|multidrug|mdtH,multidrug,mdtH,mdtH,NA
gi:779866092:ref:WP_045354443.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
AF155139.2.gene4.p01|FEATURES|vanY|glycopeptide|vanY,glycopeptide,vanY,vanY,NA
Q8FFM1|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
gi:779872998:ref:WP_045357408.1:|FEATURES|fosA|fosfomycin|fosA,fosfomycin,fosA,fosA,NA
gi:770791620:ref:WP_045134670.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:514421161:ref:WP_016568324.1:|FEATURES|mexF|multidrug|mexF,multidrug,mexF,mexF,NA
NC_011595.7057907.p01|FEATURES|mexB|multidrug|mexB,multidrug,mexB,mexB,NA
NP_815950|FEATURES|vanX|glycopeptide|vanX,glycopeptide,vanX,vanX,NA
gi:446669109:ref:WP_000746455.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:915870017:ref:WP_050918514.1:|FEATURES|tetA|tetracycline|tetA,tetracycline,tetA,tetA,NA
gi:501166982:ref:WP_012210985.1:|FEATURES|tetL|tetracycline|tetL,tetracycline,tetL,tetL,NA
gi:488156254:ref:WP_002227462.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
gi:489021473:ref:WP_002931964.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
ZP_04268622|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:490838406:ref:WP_004700481.1:|FEATURES|mexE|multidrug|mexE,multidrug,mexE,mexE,NA
YP_001350571|FEATURES|mexD|multidrug|mexD,multidrug,mexD,mexD,NA
gi:447201635:ref:WP_001278891.1:|FEATURES|cob(I)alamin_adenolsyltransferase|unclassified|cob(I)alamin_adenolsyltransferase,unclassified,cob(I)alamin_adenolsyltransferase,cob(I)alamin_adenolsyltransferase,NA
gi:476856987:gb:ENB51840.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
gi:906298254:emb:CRZ18264.1:|FEATURES|tetV|tetracycline|tetV,tetracycline,tetV,tetV,NA
P32715|FEATURES|mdtO|multidrug|mdtO,multidrug,mdtO,mdtO,NA
AAK14791|FEATURES|NPS-1|beta-lactam|NPS-1,beta-lactam,NPS-1,NPS-1,NA
gi:510905726:ref:WP_016232279.1:|FEATURES|emrA|multidrug|emrA,multidrug,emrA,emrA,NA
gi:555219840:ref:WP_023212628.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
P30898|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:447175130:ref:WP_001252386.1:|FEATURES|ompF|multidrug|ompF,multidrug,ompF,ompF,NA
gi:895905192:ref:WP_049005060.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
AM296480.1.gene1.p01|FEATURES|floR|phenicol|floR,phenicol,floR,floR,NA
AF226276.1.gene3.p01|FEATURES|catD|phenicol|catD,phenicol,catD,catD,NA
gi:496192662:ref:WP_008914998.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
gi:1028105368:ref:WP_063860517.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
GQ202693.1.gene2.p01|FEATURES|OXA-161|beta-lactam|OXA,beta-lactam,OXA,OXA-161,NA
gi:730360176:ref:WP_033998317.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
CAJ45367|FEATURES|mefA|MLS|mefA,MLS,mefA,mefA,NA
gi:983455103:ref:WP_060615977.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:545167026:ref:WP_021521592.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:727765868:ref:WP_033870271.1:|FEATURES|mdtL|multidrug|mdtL,multidrug,mdtL,mdtL,NA
CAD55935|FEATURES|IMP-13|beta-lactam|IMP,beta-lactam,IMP,IMP-13,NA
BAC67152|FEATURES|tetY|tetracycline|tetY,tetracycline,tetY,tetY,NA
gi:947880287:ref:WP_056540658.1:|FEATURES|tetA|tetracycline|tetA,tetracycline,tetA,tetA,NA
gi:491269060:ref:WP_005127195.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
ACA34904|FEATURES|VEB-6|beta-lactam|VEB-6,beta-lactam,VEB-6,VEB-6,NA
AAZ93366|FEATURES|CMY-2|beta-lactam|CMX,beta-lactam,CMX,CMY-2,NA
gi:210060768:pdb:2RL3:A|FEATURES|OXA-10|beta-lactam|OXA,beta-lactam,OXA,OXA-10,NA
gi:896445442:ref:WP_049375221.1:|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
gi:555038129:gb:ESL82444.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
gi:446657949:ref:WP_000735295.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
Z28968.gene.p01|FEATURES|SME-1|beta-lactam|SME-1,beta-lactam,SME-1,SME-1,NA
EU729727.1.gene1.p1|FEATURES|KPC-7|beta-lactam|KPC,beta-lactam,KPC,KPC-7,NA
gi:388785938:gb:AFK78219.1:|FEATURES|GES-11|beta-lactam|GES,beta-lactam,GES,GES-11,NA
BAC67143|FEATURES|tetB|tetracycline|tetB,tetracycline,tetB,tetB,NA
gi:446110278:ref:WP_000188133.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
EU019536.1.gene1.p01|FEATURES|OXA-82|beta-lactam|OXA,beta-lactam,OXA,OXA-82,NA
AY243512.1.gene1.p01|FEATURES|TEM-120|beta-lactam|TEM,beta-lactam,TEM,TEM-120,NA
DQ174307.1.gene1.p01|FEATURES|SHV-67|beta-lactam|SHV,beta-lactam,SHV,SHV-67,NA
ZP_03583211|FEATURES|opcM|multidrug|opcM,multidrug,opcM,opcM,NA
gi:643605601:ref:WP_025238134.1:|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
L42544.gene.p01|FEATURES|tetT|tetracycline|tetT,tetracycline,tetT,tetT,NA
AAK51920|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I,aminoglycoside,aac(6')-I,aac(6')-I,NA
HM750249.1.gene1.p01|FEATURES|VIM-25|beta-lactam|VIM,beta-lactam,VIM,VIM-25,NA
HE999704.1.gene1687.p01|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
ABF20240|FEATURES|catB|phenicol|catB,phenicol,catB,catB,NA
gi:518177613:ref:WP_019347821.1:|FEATURES|class_A|beta-lactam|class_A,beta-lactam,class_A,class_A,NA
gi:518226703:ref:WP_019396911.1:|FEATURES|mexH|multidrug|mexH,multidrug,mexH,mexH,NA
gi:685236936:ref:WP_031605176.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:920609712:ref:WP_053020033.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
gi:446657924:ref:WP_000735270.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:558560157:ref:WP_023491039.1:|FEATURES|acrB|multidrug|acrB,multidrug,acrB,acrB,NA
gi:553768013:ref:WP_023100243.1:|FEATURES|oprJ|multidrug|oprJ,multidrug,oprJ,oprJ,NA
gi:693171998:ref:WP_032304306.1:|FEATURES|mdtP|multidrug|mdtP,multidrug,mdtP,mdtP,NA
YP_001338812|FEATURES|cmlA|phenicol|cmlA,phenicol,cmlA,cmlA,NA
gi:499386493:ref:WP_011073960.1:|FEATURES|catB|phenicol|catB,phenicol,catB,catB,NA
CAI84881|FEATURES|tetL|tetracycline|tetL,tetracycline,tetL,tetL,NA
gi:693018597:ref:WP_032197292.1:|FEATURES|mdtL|multidrug|mdtL,multidrug,mdtL,mdtL,NA
gi:556469366:ref:WP_023321121.1:|FEATURES|mdtK|multidrug|mdtK,multidrug,mdtK,mdtK,NA
AAA26492|FEATURES|ermE|MLS|ermE,MLS,ermE,ermE,NA
AJ313523.1.orf0.gene.p01|FEATURES|erm(33)|MLS|erm(33),MLS,erm(33),erm(33),NA
gi:486155877:ref:WP_001519630.1:|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:488983594:ref:WP_002894393.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:511041763:ref:WP_016295755.1:|FEATURES|vanX|glycopeptide|vanX,glycopeptide,vanX,vanX,NA
ZP_02700942|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
U09991.1.gene2.p01|FEATURES|chloramphenicol_exporter|phenicol|chloramphenicol_exporter,phenicol,chloramphenicol_exporter,chloramphenicol_exporter,NA
gi:545242743:ref:WP_021541510.1:|FEATURES|mdtO|multidrug|mdtO,multidrug,mdtO,mdtO,NA
gi:558888514:ref:WP_023543283.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter,multidrug,multidrug_ABC_transporter,multidrug_ABC_transporter,NA
gi:555219549:ref:WP_023212356.1:|FEATURES|arnA|polymyxin|arnA,polymyxin,arnA,arnA,NA
ZP_03986195|FEATURES|mepA|multidrug|mepA,multidrug,mepA,mepA,NA
gi:696367936:ref:WP_032942948.1:|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
YP_001176128|FEATURES|macB|MLS|macB,MLS,macB,macB,NA
gi:486248954:ref:WP_001563516.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:1031631057:gb:ANG12696.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:754672984:ref:WP_042053629.1:|FEATURES|tetR|tetracycline|tetR,tetracycline,tetR,tetR,NA
AAR37057|FEATURES|vanS|glycopeptide|vanS,glycopeptide,vanS,vanS,NA
gi:753534206:pdb:4UWS:B|FEATURES|VIM-26|beta-lactam|VIM,beta-lactam,VIM,VIM-26,NA
FJ349556.1.gene4.p01|FEATURES|vanY|glycopeptide|vanY,glycopeptide,vanY,vanY,NA
HE963771.1.gene1.p01|FEATURES|OXA-250|beta-lactam|OXA,beta-lactam,OXA,OXA-250,NA
gi:281335928:gb:ADA62521.1:|FEATURES|CTX-M|beta-lactam|CTX-M,beta-lactam,CTX-M,CTX-M,NA
YP_002295271|FEATURES|mdtL|multidrug|mdtL,multidrug,mdtL,mdtL,NA
CP000034.1.gene2198.p01|FEATURES|ompF|multidrug|ompF,multidrug,ompF,ompF,NA
gi:487414406:ref:WP_001681940.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
gi:489799107:ref:WP_003702998.1:|FEATURES|macA|MLS|macA,MLS,macA,macA,NA
gi:665939114:ref:WP_031305161.1:|FEATURES|fosB|fosfomycin|fosB,fosfomycin,fosB,fosB,NA
CAC14595|FEATURES|smeE|multidrug|smeE,multidrug,smeE,smeE,NA
gi:1031794099:ref:WP_064134851.1:|FEATURES|norA|multidrug|norA,multidrug,norA,norA,NA
gi:693117414:ref:WP_032267527.1:|FEATURES|mdtM|multidrug|mdtM,multidrug,mdtM,mdtM,NA
gi:691142723:ref:WP_032055937.1:|FEATURES|marR|multidrug|marR,multidrug,marR,marR,NA
gi:555089276:gb:ESM32414.1:|FEATURES|fosA|fosfomycin|fosA,fosfomycin,fosA,fosA,NA
CP001581.1.gene725.p01|FEATURES|EmrB-QacA_family_major_facilitator_transporter|multidrug|EmrB-QacA_family_major_facilitator_transporter,multidrug,EmrB-QacA_family_major_facilitator_transporter,EmrB-QacA_family_major_facilitator_transporter,NA
gi:835762022:ref:WP_047653716.1:|FEATURES|sdiA|unclassified|sdiA,unclassified,sdiA,sdiA,NA
gi:692958302:ref:WP_032151894.1:|FEATURES|dfrA12|diaminopyrimidine|dfrA12,diaminopyrimidine,dfrA12,dfrA12,NA
CAI94891|FEATURES|mefA|MLS|mefA,MLS,mefA,mefA,NA
gi:895859193:ref:WP_048969621.1:|FEATURES|class_C|beta-lactam|class_C,beta-lactam,class_C,class_C,NA
Q8FCI8|FEATURES|mdtF|multidrug|mdtF,multidrug,mdtF,mdtF,NA
ZP_02686031|FEATURES|mdtG|multidrug|mdtG,multidrug,mdtG,mdtG,NA
gi:1031667883:gb:ANG29794.1:|FEATURES|TEM-1|beta-lactam|TEM,beta-lactam,TEM,TEM-1,NA
gi:917769599:ref:WP_052283603.1:|FEATURES|TolC|multidrug|TolC,multidrug,TolC,TolC,NA
gi:486144614:ref:WP_001516928.1:|FEATURES|emrB|multidrug|emrB,multidrug,emrB,emrB,NA
