header	amino_acid_length	nucleotide_length
ACI28880|FEATURES|argannot|aminoglycoside|AAC(6')-Iai|antibiotic_inactivation|1	188	564
AAA69747.1|FEATURES|argannot|aminoglycoside|AAC(6')-Ib|antibiotic_inactivation|1	201	603
AAA26549|FEATURES|argannot|aminoglycoside|AAC(6')-Ic|antibiotic_inactivation|1	146	438
CAA31139.1|FEATURES|argannot|aminoglycoside|VN23_18795|antibiotic_inactivation|1	149	447
CAA39038|FEATURES|argannot|aminoglycoside|AAC(6')-If|antibiotic_inactivation|1	144	432
AAA21889|FEATURES|argannot|aminoglycoside|AAC(6')-Ig|antibiotic_inactivation|1	145	435
AAC41391|FEATURES|argannot|aminoglycoside|AAC(6')-Ih|antibiotic_inactivation|1	146	438
AAB63533|FEATURES|argannot|aminoglycoside|AAC(6')-Ii|antibiotic_inactivation|1	182	546
AAC41392|FEATURES|argannot|aminoglycoside|AAC(6')-Ij|antibiotic_inactivation|1	146	438
AAA87229|FEATURES|argannot|aminoglycoside|AAC(6')-Ik|antibiotic_inactivation|1	145	435
CAA91010|FEATURES|argannot|aminoglycoside|AAC(6')-Ip|antibiotic_inactivation|1	173	519
AAK63041|FEATURES|argannot|aminoglycoside|AAC(6')-Ip|antibiotic_inactivation|1	178	534
AAC25500|FEATURES|argannot|aminoglycoside|AAC(6')-Iq|antibiotic_inactivation|1	183	549
AAD03490|FEATURES|argannot|aminoglycoside|AAC(6')-Ir|antibiotic_inactivation|1	146	438
AAD03491|FEATURES|argannot|aminoglycoside|AAC(6')-Is|antibiotic_inactivation|1	146	438
AAD03492|FEATURES|argannot|aminoglycoside|AAC(6')-It|antibiotic_inactivation|1	146	438
AAD03493|FEATURES|argannot|aminoglycoside|AAC(6')-Iu|antibiotic_inactivation|1	146	438
AAD03494|FEATURES|argannot|aminoglycoside|AAC(6')-Iv|antibiotic_inactivation|1	146	438
AAD03495|FEATURES|argannot|aminoglycoside|AAC(6')-Iw|antibiotic_inactivation|1	146	438
AAF03531|FEATURES|argannot|aminoglycoside|AAC(6')-Iy|antibiotic_inactivation|0	145	435
AAD52985|FEATURES|argannot|aminoglycoside|AAC(6')-Iz|antibiotic_inactivation|1	153	459
ABV25540|FEATURES|argannot|aminoglycoside|aac(6')-ib-cr|antibiotic_inactivation|1	172	516
AAL10408|FEATURES|argannot|aminoglycoside|AAC(6')-Ib8|antibiotic_inactivation|1	188	564
AAN41429|FEATURES|argannot|aminoglycoside|AAC(6')-29b|antibiotic_inactivation|1	126	378
AEA07977|FEATURES|argannot|aminoglycoside|AAC(6')-Iaf|antibiotic_inactivation|1	187	561
AFK93816|FEATURES|argannot|aminoglycoside|Ant3Ia|antibiotic_inactivation|1	276	828
AAB59083.4|FEATURES|argannot|aminoglycoside|Ant3Ia|antibiotic_inactivation|1	263	789
AAL36430|FEATURES|argannot|aminoglycoside|aadA6/aadA10|antibiotic_inactivation|1	277	831
CAD99015|FEATURES|argannot|aminoglycoside|aadA11|antibiotic_inactivation|1	263	789
AAV49760|FEATURES|argannot|aminoglycoside|aadA12|antibiotic_inactivation|1	263	789
AAV49321|FEATURES|argannot|aminoglycoside|aadA13|antibiotic_inactivation|1	265	795
CAI57696|FEATURES|argannot|aminoglycoside|aadA14|antibiotic_inactivation|1	261	783
ABD58917|FEATURES|argannot|aminoglycoside|aadA15|antibiotic_inactivation|1	263	789
ACF17980.1|FEATURES|argannot|aminoglycoside|aadA16|antibiotic_inactivation|1	281	843
ACK43806|FEATURES|argannot|aminoglycoside|aadA17|antibiotic_inactivation|1	263	789
CAA48308.1|FEATURES|argannot|aminoglycoside|aadA|antibiotic_inactivation|1	259	777
AAN87151|FEATURES|argannot|aminoglycoside|aadA21|antibiotic_inactivation|1	263	789
CAK12750|FEATURES|argannot|aminoglycoside|HMPREF9349_04665|antibiotic_inactivation|1	263	789
ADM53774.1|FEATURES|argannot|aminoglycoside|aadA24|antibiotic_inactivation|1	259	777
AAC14728.1|FEATURES|argannot|aminoglycoside|aadA3|antibiotic_inactivation|1	263	789
AAN34365.1|FEATURES|CARD|aminoglycoside|aadA4|antibiotic_inactivation|1	262	786
AAF17880.1|FEATURES|argannot|aminoglycoside|aadA5|antibiotic_inactivation|1	262	786
AAD54217|FEATURES|argannot|aminoglycoside|aadA6|antibiotic_inactivation|1	281	843
AAF44098|FEATURES|argannot|aminoglycoside|aadA7|antibiotic_inactivation|1	265	795
AAK69614|FEATURES|argannot|aminoglycoside|aadA8|antibiotic_inactivation|1	263	789
CAJ13568|FEATURES|argannot|aminoglycoside|aadA8b|antibiotic_inactivation|1	263	789
CAA24595|FEATURES|argannot|bacitracin|uppP|antibiotic_inactivation|0	158	474
CAD12230.1|FEATURES|argannot|aminoglycoside|aadA9|antibiotic_inactivation|1	278	834
AAA16527.1|FEATURES|argannot|aminoglycoside|aad9|antibiotic_inactivation|1	255	765
AAF85647.1|FEATURES|argannot|aminoglycoside|AadD|antibiotic_inactivation|1	256	768
CCC83993.1|FEATURES|argannot|aminoglycoside|aadE|antibiotic_inactivation|1	284	852
AEI42793|FEATURES|argannot|aminoglycoside|aadK|antibiotic_inactivation|1	295	885
AAA25717|FEATURES|argannot|aminoglycoside|ANT(4')-IIa|antibiotic_inactivation|1	252	756
AAM76670|FEATURES|argannot|aminoglycoside|ANT(4')-IIb|antibiotic_inactivation|1	251	753
CAD44606.1|FEATURES|argannot|aminoglycoside|ANT(4')-Ia|antibiotic_inactivation|1	256	768
AAK62560|FEATURES|argannot|aminoglycoside|aad(6)|antibiotic_inactivation|1	302	906
CBH51824.1|FEATURES|argannot|aminoglycoside|ANT(6)-Ib|antibiotic_inactivation|1	285	855
AAG13458|FEATURES|argannot|aminoglycoside|APH(2'')-IIa|antibiotic_inactivation|1	299	897
AAB49832|FEATURES|argannot|aminoglycoside|APH(2'')-IIIa|antibiotic_inactivation|1	306	918
AAX38178|FEATURES|argannot|aminoglycoside|APH(2'')-Ie|antibiotic_inactivation|1	301	903
ACN81017|FEATURES|argannot|aminoglycoside|APH(3')-Ia|antibiotic_inactivation|1	271	813
BAF93086|FEATURES|argannot|aminoglycoside|strA|antibiotic_inactivation|1	267	801
CAA24789.1|FEATURES|argannot|aminoglycoside|APH(3')-IIIa|antibiotic_inactivation|1	264	792
CAA62365|FEATURES|argannot|aminoglycoside|APH(3')-IIb|antibiotic_inactivation|1	268	804
ADQ43421|FEATURES|argannot|aminoglycoside|APH(3')-IIc|antibiotic_inactivation|1	267	801
CAA27061|FEATURES|argannot|aminoglycoside|APH(3')-IVa|antibiotic_inactivation|1	262	786
AES85952|FEATURES|argannot|aminoglycoside|APH(3')-Ia|antibiotic_inactivation|1	271	813
CAA88266.1|FEATURES|argannot|aminoglycoside|Aph3Ic|antibiotic_inactivation|1	271	813
AAG11411|FEATURES|argannot|aminoglycoside|AC230_04535|antibiotic_inactivation|1	267	801
AAA76822|FEATURES|argannot|aminoglycoside|APH(3')-VIIa|antibiotic_inactivation|1	250	750
AEK25612|FEATURES|argannot|aminoglycoside|T630_4108|antibiotic_inactivation|1	259	777
CAF29483|FEATURES|argannot|aminoglycoside|APH(3')-VIa|antibiotic_inactivation|1	259	777
AAB03856|FEATURES|argannot|aminoglycoside|AC230_04535|antibiotic_inactivation|0	258	774
AAC32025|FEATURES|argannot|aminoglycoside|APH(3')-Vb|antibiotic_inactivation|1	263	789
AAB21326|FEATURES|argannot|aminoglycoside|APH(3')-Vc|antibiotic_inactivation|1	264	792
CAD91341|FEATURES|argannot|aminoglycoside|APH(3')-IIa|antibiotic_inactivation|1	264	792
CAA24743.1|FEATURES|argannot|aminoglycoside|APH(4)-Ia|antibiotic_inactivation|1	341	1023
AAX82592|FEATURES|argannot|aminoglycoside|APH(6)-Ia|antibiotic_inactivation|1	307	921
CAA29136|FEATURES|argannot|aminoglycoside|APH(6)-Ib|antibiotic_inactivation|1	307	921
EFI05284|FEATURES|argannot|aminoglycoside|APH(4)-Ia|antibiotic_inactivation|0	305	915
AAB58447.1|FEATURES|argannot|aminoglycoside|APH(9)-Ia|antibiotic_inactivation|1	331	993
AAD45541|FEATURES|argannot|aminoglycoside|APH(6)-Ib|antibiotic_inactivation|0	307	921
CBL58181.1|FEATURES|argannot|aminoglycoside|apmA|antibiotic_inactivation|1	274	822
AAP50754|FEATURES|argannot|aminoglycoside|rmtB|antibiotic_target_alteration|1	257	771
BAU61743|FEATURES|argannot|aminoglycoside|npmA|antibiotic_target_alteration|1	219	657
BAD12551|FEATURES|argannot|aminoglycoside|rmtA|antibiotic_target_alteration|1	251	753
BAC81971.1|FEATURES|argannot|aminoglycoside|rmtB|antibiotic_target_alteration|1	251	753
AFC75738|FEATURES|argannot|aminoglycoside|rmtB|antibiotic_target_alteration|1	251	753
BAE48305|FEATURES|argannot|aminoglycoside|rmtC|antibiotic_target_alteration|1	281	843
ABJ53409|FEATURES|argannot|aminoglycoside|rmtD|antibiotic_target_alteration|1	247	741
ADW66527|FEATURES|argannot|aminoglycoside|rmtD|antibiotic_target_alteration|1	247	741
ADA63498|FEATURES|argannot|aminoglycoside|rmtB|antibiotic_target_alteration|1	273	819
AFJ11385|FEATURES|argannot|aminoglycoside|rmtF|antibiotic_target_alteration|1	259	777
AGE00988|FEATURES|argannot|aminoglycoside|rmtG|antibiotic_target_alteration|1	264	792
AGH19769|FEATURES|argannot|aminoglycoside|rmtH|antibiotic_target_alteration|1	252	756
CAA35921.1|FEATURES|argannot|streptothricin|sat-1|antibiotic_inactivation|1	174	522
CAA88265.1|FEATURES|argannot|aminoglycoside|sat-3|antibiotic_inactivation|1	180	540
CAC29201|FEATURES|argannot|aminoglycoside|sat-4|antibiotic_inactivation|1	180	540
CAA26428.1|FEATURES|argannot|aminoglycoside|aad9Ib|antibiotic_inactivation|1	260	780
AAK68631|FEATURES|argannot|aminoglycoside|APH(6)-Ic|antibiotic_inactivation|1	280	840
CAA63519.1|FEATURES|argannot|aminoglycoside|str|antibiotic_inactivation|1	282	846
X57709|FEATURES|argannot|aminoglycoside|APH(3')-IIa|antibiotic_inactivation|1	264	792
AAA26412|FEATURES|argannot|aminoglycoside|APH(3')-Ib|antibiotic_inactivation|1	271	813
CCJ25600|FEATURES|argannot|aminoglycoside|APH(9)-Ib|antibiotic_inactivation|0	266	798
AKP24019.1|FEATURES|argannot|aminoglycoside|aph(3')-Ic|antibiotic_inactivation|1	271	813
AKP24021.1|FEATURES|argannot|aminoglycoside|aph(3'')-Ib|antibiotic_inactivation|1	163	489
AKP24022.1|FEATURES|argannot|aminoglycoside|APH(6)-Id|antibiotic_inactivation|1	278	834
BAJ42218.1|FEATURES|argannot|beta_lactam|CMY-34|antibiotic_inactivation|0	385	1155
AFC91828|FEATURES|argannot|beta_lactam|pbp1a|antibiotic_target_alteration|0	719	2157
AAF04736|FEATURES|argannot|beta_lactam|pbp1b|antibiotic_target_alteration|0	821	2463
AFG41385|FEATURES|argannot|beta_lactam|mrdA|antibiotic_target_replacement|0	633	1899
CBJ02047.1|FEATURES|argannot|beta_lactam|ampC|antibiotic_inactivation|0	434	1302
AFH19307|FEATURES|argannot|beta_lactam|BL1_ec|antibiotic_inactivation|1	377	1131
AAK14791|FEATURES|argannot|beta_lactam|LCR-1|antibiotic_inactivation|1	260	780
AFQ67211|FEATURES|argannot|beta_lactam|ampC|antibiotic_inactivation|0	386	1158
WP_013544541.1|FEATURES|argannot|aminoglycoside|ampS|antibiotic_target_alteration|0	415	1245
AFB78806|FEATURES|argannot|beta_lactam|blaA|antibiotic_inactivation|1	294	882
CAB46491.1|FEATURES|argannot|beta_lactam|ACC-1|antibiotic_inactivation|1	386	1158
AAF86691.1|FEATURES|argannot|beta_lactam|ACC-2|antibiotic_inactivation|1	390	1170
AAF86696|FEATURES|argannot|beta_lactam|ACC-3|antibiotic_inactivation|1	377	1131
ABP49606|FEATURES|argannot|beta_lactam|blaACC-6|antibiotic_inactivation|1	386	1158
CCK86740.1|FEATURES|argannot|beta_lactam|ACC-5|antibiotic_inactivation|1	386	1158
AAC45086|FEATURES|argannot|beta_lactam|ACT-1|antibiotic_inactivation|1	381	1143
CAJ28994|FEATURES|argannot|beta_lactam|ACT-2|antibiotic_inactivation|1	381	1143
ABZ81086|FEATURES|argannot|beta_lactam|ACT-4|antibiotic_inactivation|1	380	1140
CAC85157|FEATURES|argannot|beta_lactam|ACT-4|antibiotic_inactivation|1	381	1143
ACJ05689|FEATURES|argannot|beta_lactam|ACT-5|antibiotic_inactivation|1	381	1143
ACJ05686|FEATURES|argannot|beta_lactam|ACT-6|antibiotic_inactivation|1	381	1143
ACJ05688|FEATURES|argannot|beta_lactam|ACT-7|antibiotic_inactivation|1	381	1143
CBI75448|FEATURES|argannot|beta_lactam|blaACT-8|antibiotic_inactivation|1	381	1143
AEI70575|FEATURES|argannot|beta_lactam|ACT-9|antibiotic_inactivation|1	380	1140
AEV91214|FEATURES|argannot|beta_lactam|ACT-10|antibiotic_inactivation|1	381	1143
AFU25650|FEATURES|argannot|beta_lactam|ACT-12|antibiotic_inactivation|1	381	1143
AFU25647|FEATURES|argannot|beta_lactam|ACT-14|antibiotic_inactivation|1	381	1143
AFU25653|FEATURES|argannot|beta_lactam|ACT-15|antibiotic_inactivation|1	381	1143
BAM34463|FEATURES|argannot|beta_lactam|ACT-16|antibiotic_inactivation|1	380	1140
AKS43590|FEATURES|argannot|beta_lactam|ACT-38|antibiotic_inactivation|1	381	1143
AAC09015|FEATURES|argannot|beta_lactam|AER-1|antibiotic_inactivation|1	304	912
CAG25812|FEATURES|argannot|beta_lactam|OKP-A-1|antibiotic_inactivation|1	286	858
CAG25815|FEATURES|argannot|beta_lactam|OKP-A-2|antibiotic_inactivation|1	286	858
CAJ19599|FEATURES|argannot|beta_lactam|OKP-A-3|antibiotic_inactivation|1	286	858
CAJ19601|FEATURES|argannot|beta_lactam|OKP-A-4|antibiotic_inactivation|1	286	858
CAJ19602|FEATURES|argannot|beta_lactam|OKP-A-5|antibiotic_inactivation|1	286	858
CAJ19603|FEATURES|argannot|beta_lactam|OKP-A-6|antibiotic_inactivation|1	286	858
CAJ19604|FEATURES|argannot|beta_lactam|OKP-A-7|antibiotic_inactivation|1	286	858
CAJ19606|FEATURES|argannot|beta_lactam|OKP-A-8|antibiotic_inactivation|1	286	858
CAJ19607|FEATURES|argannot|beta_lactam|OKP-A-9|antibiotic_inactivation|1	286	858
CAJ19608|FEATURES|argannot|beta_lactam|OKP-A-10|antibiotic_inactivation|1	286	858
CAP12353|FEATURES|argannot|beta_lactam|OKP-A-11|antibiotic_inactivation|1	286	858
CAP12354.2|FEATURES|argannot|beta_lactam|OKP-A-12|antibiotic_inactivation|1	286	858
ACL68096|FEATURES|argannot|beta_lactam|OKP-A-13|antibiotic_inactivation|1	286	858
ACL68095|FEATURES|argannot|beta_lactam|OKP-A-14|antibiotic_inactivation|1	286	858
ACN65419|FEATURES|argannot|beta_lactam|OKP-A-15|antibiotic_inactivation|1	281	843
ACN65418|FEATURES|argannot|beta_lactam|OKP-A-16|antibiotic_inactivation|1	286	858
CAG25813|FEATURES|argannot|beta_lactam|OKP-B-1|antibiotic_inactivation|1	286	858
CAJ19610|FEATURES|argannot|beta_lactam|OKP-B-2|antibiotic_inactivation|1	286	858
CAJ19611|FEATURES|argannot|beta_lactam|OKP-B-3|antibiotic_inactivation|1	286	858
CAJ19612|FEATURES|argannot|beta_lactam|OKP-B-4|antibiotic_inactivation|1	286	858
AAS13468|FEATURES|argannot|beta_lactam|OKP-B-5|antibiotic_inactivation|1	286	858
CAJ19615|FEATURES|argannot|beta_lactam|OKP-B-7|antibiotic_inactivation|1	286	858
CAJ19616|FEATURES|argannot|beta_lactam|OKP-B-8|antibiotic_inactivation|1	286	858
CAJ19618|FEATURES|argannot|beta_lactam|OKP-B-9|antibiotic_inactivation|1	286	858
CAJ19619|FEATURES|argannot|beta_lactam|OKP-B-10|antibiotic_inactivation|1	286	858
CAJ19620|FEATURES|argannot|beta_lactam|OKP-B-11|antibiotic_inactivation|1	286	858
CAG25831|FEATURES|argannot|beta_lactam|OKP-B-12|antibiotic_inactivation|1	263	789
AAV80715|FEATURES|argannot|beta_lactam|OKP-B-13|antibiotic_inactivation|1	286	858
AAZ79403|FEATURES|argannot|beta_lactam|blaOKP-B-14|antibiotic_inactivation|1	286	858
CAP12357|FEATURES|argannot|beta_lactam|OKP-B-17|antibiotic_inactivation|1	286	858
CAP12358|FEATURES|argannot|beta_lactam|OKP-B-18|antibiotic_inactivation|1	286	858
CAP12359|FEATURES|argannot|beta_lactam|OKP-B-19|antibiotic_inactivation|1	286	858
CAP12360|FEATURES|argannot|beta_lactam|OKP-B-20|antibiotic_inactivation|1	286	858
AFD53816|FEATURES|argannot|beta_lactam|NDM-1|antibiotic_inactivation|1	270	810
AET86558|FEATURES|argannot|beta_lactam|NDM-2|antibiotic_inactivation|1	270	810
AFK80349|FEATURES|argannot|beta_lactam|NDM-3|antibiotic_inactivation|1	270	810
AFB82585|FEATURES|argannot|beta_lactam|NDM-4|antibiotic_inactivation|1	270	810
AEN03071|FEATURES|argannot|beta_lactam|NDM-5|antibiotic_inactivation|1	270	810
AEX08599|FEATURES|argannot|beta_lactam|NDM-6|antibiotic_inactivation|1	270	810
AFS33103|FEATURES|argannot|beta_lactam|NDM-7|antibiotic_inactivation|1	270	810
BAM84089|FEATURES|argannot|beta_lactam|NDM-8|antibiotic_inactivation|1	270	810
AGU91756|FEATURES|argannot|beta_lactam|NDM-9|antibiotic_inactivation|1	270	810
AGT37351|FEATURES|argannot|beta_lactam|NDM-10|antibiotic_inactivation|1	270	810
BAO79439|FEATURES|argannot|beta_lactam|NDM-12|antibiotic_inactivation|1	270	810
BAQ02518|FEATURES|argannot|beta_lactam|NDM-13|antibiotic_inactivation|1	270	810
AKF43458|FEATURES|argannot|beta_lactam|NDM-6|antibiotic_inactivation|1	270	810
AKZ20823|FEATURES|argannot|beta_lactam|NDM-1|antibiotic_inactivation|1	270	810
AAU10324|FEATURES|argannot|beta_lactam|CF70_016075|antibiotic_inactivation|1	296	888
CAC33434|FEATURES|argannot|beta_lactam|bla|antibiotic_inactivation|1	300	900
AAD22636|FEATURES|argannot|beta_lactam|MIR-1|antibiotic_inactivation|1	381	1143
AAO42602|FEATURES|argannot|beta_lactam|MIR-2|antibiotic_inactivation|1	381	1143
AAU95779|FEATURES|argannot|beta_lactam|MIR-3|antibiotic_inactivation|1	381	1143
ABQ57390|FEATURES|argannot|beta_lactam|MIR-2|antibiotic_inactivation|1	367	1101
AFJ79785|FEATURES|argannot|beta_lactam|MIR-6|antibiotic_inactivation|1	381	1143
ACJ05687|FEATURES|argannot|beta_lactam|MIR-5|antibiotic_inactivation|1	381	1143
CAA71326|FEATURES|argannot|beta_lactam|DHA-21|antibiotic_inactivation|1	379	1137
AAO84036|FEATURES|argannot|beta_lactam|ampC|antibiotic_inactivation|1	379	1137
BAA02563|FEATURES|argannot|beta_lactam|MOX-1|antibiotic_inactivation|1	382	1146
CAB82578|FEATURES|argannot|beta_lactam|MOX-2|antibiotic_inactivation|1	382	1146
ACA30419|FEATURES|argannot|beta_lactam|MOX-3|antibiotic_inactivation|1	382	1146
ACI89425|FEATURES|argannot|beta_lactam|MOX-4|antibiotic_inactivation|1	382	1146
ACS44783|FEATURES|argannot|beta_lactam|MOX-5|antibiotic_inactivation|1	383	1149
ACS44784|FEATURES|argannot|beta_lactam|MOX-6|antibiotic_inactivation|1	383	1149
ACS44785|FEATURES|argannot|beta_lactam|MOX-7|antibiotic_inactivation|1	383	1149
AGH56079|FEATURES|argannot|beta_lactam|MOX-8|antibiotic_inactivation|1	383	1149
AAN63648|FEATURES|argannot|beta_lactam|TUS-1|antibiotic_inactivation|1	248	744
AAN63647|FEATURES|argannot|beta_lactam|MUS-1|antibiotic_inactivation|1	246	738
ADM26831|FEATURES|argannot|beta_lactam|TLA-1|antibiotic_inactivation|1	301	903
ABW05394|FEATURES|argannot|beta_lactam|ampC|antibiotic_inactivation|1	382	1146
AAT90846|FEATURES|argannot|beta_lactam|SLB-1|antibiotic_inactivation|1	249	747
AAT90847|FEATURES|argannot|beta_lactam|SFB-1|antibiotic_inactivation|1	244	732
BAL14456|FEATURES|argannot|beta_lactam|SMB-1|antibiotic_inactivation|1	280	840
BAA23130|FEATURES|argannot|beta_lactam|SRT-1|antibiotic_inactivation|1	378	1134
WP_024531368|FEATURES|argannot|beta_lactam|Sfh-1|antibiotic_inactivation|1	255	765
